"ID","Ronda","Fila fuente","Observación","Ajuste","Comentarios","Estatus","Área","Etapa","Evidencias"
"1","Pruebas 30 de julio","2","Punto final en el segundo slide","","","Completado","Copy","Etapa 1","image4.png"
"2","Pruebas 30 de julio","3","Degadadado de fondo: background: var(--Color-Fill-Gradient-Button, linear-gradient(92deg, var(--Semantic-Colors-Fill-Button-Button-Gradient-Strong, #10553D) 3.93%, var(--Semantic-Colors-Fill-Button-Button-Gradient-Light, #14875A) 98.12%));","","","Completado","UI","Etapa 2","image3.png"
"3","Pruebas 30 de julio","4","Mantener la proporción entre REMS","","","Completado","UI","Etapa 2","image1.png"
"4","Pruebas 30 de julio","5","La tipografía de las categorías se muestra en 14 pt y debe de estár en 16 pts","","","Completado","UI","Etapa 2","image1.png"
"5","Pruebas 30 de julio","6","Paddings entre categorías debe de ser de 16 px y agregar shadows","","","Completado","UI","Etapa 2","image1.png"
"6","Pruebas 30 de julio","7","La imagen está en una proporción de 40x40px","","","Completado","UI","Etapa 2","image2.png"
"7","Pruebas 30 de julio","8","La profundidad de la caja de subcategoría esta en 80 px y la tenemos en 68 px","","","Completado","UI","Etapa 2","image1.png | image5.png"
"8","Pruebas 30 de julio","9","Se repite la categoría de ""Efectivo"" se debe de ocultar","","Ese se lo lleva back","Pendiente","Backend","Etapa 2",""
"9","Pruebas 30 de julio","10","Darle un salto de parrafo a la dirección","","","Completado","UI","Etapa 2","image6.png"
"10","Pruebas 30 de julio","11","La URL debe quedar del mismo tono de la tipografía","","","Completado","UI","Etapa 2","image6.png"
"11","Pruebas 30 de julio","12","""Ver información legal"" debe ir en tipografía regular, sin el subrayado y la palabra ""Legal"" va en minúscula","","","Completado","Copy","Etapa 1","image6.png"
"12","Pruebas 30 de julio","13","""Crédito sujeto aprobación"" no va subrayado","","","Completado","UI","Etapa 2","image7.png | image8.png"
"13","Pruebas 30 de julio","14","Se va a cambiar la tipografía de títulos y subtítulos por Sora y Satoshi","","","Completado","UI","Etapa 2",""
"14","Pruebas 30 de julio","15","Agregar el padding entre ""Lo soñaste"" y ""Ahora cuéntanos..."" de 12 px","","","Completado","UI","Etapa 2","image9.png"
"15","Pruebas 30 de julio","16","Ahora cuéntanos, ¿cuánto dinero necesitas? el ""cuánto"" va en minúsculas","","","Completado","Copy","Etapa 1","image9.png"
"16","Pruebas 30 de julio","17","Mascará en el blur del button sheet logo de Banco Azteca - semanalidades (estilo general)","","","Completado","UI","Etapa 2","image10.png | image11.png"
"17","Pruebas 30 de julio","18","Tipografía del catalogo de semanalidades","","","Completado","UI","Etapa 2",""
"18","Pruebas 30 de julio","19","Ordenar las semanas de mayor a menor, de 128 semanas a 4 semanas","","","Pendiente","UI","Etapa 2","image11.png"
"19","Pruebas 30 de julio","20","Revisar el padding del selector de semanalidad debe de estár en 12 px","","","Completado","UI","Etapa 2","image12.png"
"20","Pruebas 30 de julio","21","Tipografía del título debe de estár en 24 px en Sora","","","Completado","UI","Etapa 2","image13.png"
"21","Pruebas 30 de julio","22","Ajusar el tamaño de 48 px a 54 px en la cifra del cotizador","","","Completado","UI","Etapa 2","image14.png"
"22","Pruebas 30 de julio","23","Agregar el punto final a ""Ingresa los datos para iniciar tu solicitud.""","","","Completado","Copy","Etapa 1","image15.png"
"23","Pruebas 30 de julio","24","Gap entre título y subtítulo de 12 px","","","Completado","UI","Etapa 2",""
"24","Pruebas 30 de julio","25","Cambiar el hexadecimal del verde en los avisos legales por #106949","","","Completado","UI","Etapa 2","image16.png | image17.png"
"25","Pruebas 30 de julio","26","Labels quedan como Body2 en Satoshi","","","Completado","UI","Etapa 2",""
"26","Pruebas 30 de julio","27","Input Body1 en Satoshi","","","Completado","UI","Etapa 2","image17.png"
"27","Pruebas 30 de julio","28","Los errores no llevan punto final","","","Completado","Copy","Etapa 1","image18.png | image21.png"
"28","Pruebas 30 de julio","29","Se omite el autocomplete del la pantalla de nickname","","","Pendiente","Funcionalidad","Etapa 2","image19.png | image20.png"
"29","Pruebas 30 de julio","30","Falta agregar la URL de Información laboral y separar el texto","","Ya se separo el texto solo falta la URL que negocio nos compartirá","Completado","Negocio","Etapa 2",""
"30","Pruebas 30 de julio","31","Ajustar el icono del lapiz","","","Pendiente","Backend","Etapa 2","image22.png"
