,Observación,Evidencia,Ajuste,Comentarios
VERDADERO,Punto final en el segundo slide,,,
VERDADERO,"Degadadado de fondo: background: var(--Color-Fill-Gradient-Button, linear-gradient(92deg, var(--Semantic-Colors-Fill-Button-Button-Gradient-Strong, #10553D) 3.93%, var(--Semantic-Colors-Fill-Button-Button-Gradient-Light, #14875A) 98.12%));",,,
VERDADERO,Mantener la proporción entre REMS,,,
VERDADERO,La tipografía de las categorías se muestra en 14 pt y debe de estár en 16 pts,,,
VERDADERO,Paddings entre categorías debe de ser de 16 px y agregar shadows,,,
VERDADERO,La imagen está en una proporción de 40x40px,,,
VERDADERO,La profundidad de la caja de subcategoría esta en 80 px y la tenemos en 68 px,,,
FALSO,"Se repite la categoría de ""Efectivo"" se debe de ocultar",,,Ese se lo lleva back 
VERDADERO,Darle un salto de parrafo a la dirección ,,,
VERDADERO,La URL debe quedar del mismo tono de la tipografía ,,,
VERDADERO,"""Ver información legal"" debe ir en tipografía regular, sin el subrayado y la palabra ""Legal"" va en minúscula ",,,
VERDADERO,"""Crédito sujeto aprobación"" no va subrayado",,,
VERDADERO,Se va a cambiar la tipografía de títulos y subtítulos por Sora y Satoshi ,,,
VERDADERO,"Agregar el padding entre ""Lo soñaste"" y ""Ahora cuéntanos..."" de 12 px",,,
VERDADERO,"Ahora cuéntanos, ¿cuánto dinero necesitas? el ""cuánto"" va en minúsculas",,,
VERDADERO,Mascará en el blur del button sheet logo de Banco Azteca - semanalidades (estilo general),,,
VERDADERO,Tipografía del catalogo de semanalidades,,,
FALSO,"Ordenar las semanas de mayor a menor, de 128 semanas a 4 semanas",,,
VERDADERO,Revisar el padding del selector de semanalidad debe de estár en 12 px,,,
VERDADERO,Tipografía del título debe de estár en 24 px en Sora,,,
VERDADERO,Ajusar el tamaño de 48 px a 54 px en la cifra del cotizador,,,
VERDADERO,"Agregar el punto final a ""Ingresa los datos para iniciar tu solicitud.""",,,
VERDADERO,Gap entre título y subtítulo de 12 px ,,,
VERDADERO,Cambiar el hexadecimal del verde en los avisos legales por #106949,,,
VERDADERO,Labels quedan como Body2 en Satoshi,,,
VERDADERO,Input Body1 en Satoshi ,,,
VERDADERO,Los errores no llevan punto final,,,
FALSO,Se omite el autocomplete del la pantalla de nickname,,,
VERDADERO,Falta agregar la URL de Información laboral y separar el texto ,,,Ya se separo el texto solo falta la URL que negocio nos compartirá
FALSO,Ajustar el icono del lapiz,,,
VERDADERO,"Revisar paddings y gaps en figma tenemos 32px. Revisar la funcionalidad para que el keyboard ""suba"" y se vean los números que ingresa al usuario del OTP",,,
FALSO,Agregar el stroke de 1px ,,,
VERDADERO,Revisar los paddigns de los inputs (estilo general),,,
VERDADERO,Revisar el estilo de la tipografía en el número telefonico en figma la tenemos en H3 (24/30),,,
FALSO,"Revisar la validación cuando un numero telefonico es editado, no esta haciendo la redirección de mensaje SMS al nuevo número ingresado",,,
FALSO,agregar el Swipe-to-Dismiss del bottom sheet,,,
VERDADERO,Revisar el peso de la tipografía del CTA esta en 700 y debe ser 500 (cambio general),,,
VERDADERO,Revisar escenario de numero de intentos para que redirija a la pantalla correcta y no al error general ,,,
VERDADERO,Dejar las imagenes en un tamaño estandar de 250x250px y generar un tamaño proporcional para responsive. Crear un contenedor con padding de 16px por lado,,,
VERDADERO,El componente de radio button queda sin fondo y se va a crear una variante de este componente para tener con y sin background,,,
VERDADERO,"Centrar el text label del input, también aplica en el escenario de error",,,
